id,name,title,start_date,end_date,organization_exit_date,price,exit,top_syndicate,person_id,funding_amount,candidate_id
109122,Positivly,Co-Founder,,,,,false,[],92013,0.9,30736
109125,coupa,Director of Strategic Sales,,,,1683.883495,true,[],92014,169.0,
109131,first-data-corporation,Account Executive,,,,14000.0,true,[],92014,3500.0,
109124,progressive-commercial,Subrogation/Arbitration Supervisor,,,,0.0,false,[],92014,0.0,
109126,tyler-technologies,Regional Territory Manager,,,,0.0,true,[],92014,0.0,
109127,guidepoint-global,Management Consultant and Spend Management Strategy Advisor,,,,0.0,false,[],92014,0.0,
109128,coleman-research,Management Consultant and Spend Management Strategy Advisor,,,,0.0,false,[],92014,0.0,
109129,alphasights,Management Consultant and Spend Management Strategy Advisor,,,,0.0,false,[],92014,0.0,
109130,paycor-inc,Major Market Sales Executive,,,,0.0,false,[],92014,0.0,
109132,third-bridge-group,Management Consultant and Spend Management Strategy Advisor,,,,0.0,false,[],92014,0.0,
109133,CareShield Health,Founder,,,,,false,[],92014,0.125,30737
195247,Progressive Insurance,Subrogation/Arbitration Supervisor,2002-01-01,2006-01-01,,,false,[],92014,0.0,
195248,Coupa Software,Director of Strategic Sales,2015-07-01,2016-10-01,2016-10-06,1683.883495,true,[],92014,169.0,
195249,Tyler Technologies,Regional Territory Manager,2013-01-01,2015-01-01,1990-05-25,0.0,true,[],92014,0.0,
195250,Guidepoint,Management Consultant and Spend Management Strategy Advisor,2016-01-01,,,,false,[],92014,0.0,
195251,Coleman Research,Management Consultant and Spend Management Strategy Advisor,2016-01-01,,,,false,[],92014,0.0,
195252,CareShield Health,Co-Founder and Head of Service,2016-10-01,,,,false,[],92014,0.125,
195253,AlphaSights,Management Consultant and Spend Management Strategy Advisor,2016-01-01,,,,false,[],92014,0.0,
195254,"Paycor, Inc.",Major Market Sales Executive,2011-01-01,2013-01-01,,,false,[],92014,0.0,
195255,First Data,Account Executive,2006-01-01,2009-01-01,2015-10-15,22000.0,true,[],92014,3500.0,
195256,Third Bridge Group,Management Consultant and Spend Management Strategy Advisor,2016-01-01,,,,false,[],92014,0.0,
195257,GLG,Management Consultant and Spend Management Strategy Advisor,2016-01-01,,,,false,[],92014,212.0,
195258,PNC Bank,Account Executive,2009-01-01,2011-01-01,,,false,[],92014,0.0,
195259,General Counsel,Management Consultant and Spend Management Strategy Advisor,2016-01-01,,,,false,[],92014,0.0,
109136,Cellino Biotech,Co-Founder,,,,,false,[],92015,0.0,30743
109137,Cellino Biotech,Co-Founder,,,,,false,[],92016,0.0,30743
109134,aegis-lightwave,Co-Founder,,,,0.0,true,[],92017,8.0,
109135,redshift-systems,Co-Founder,,,,0.0,false,[],92017,27.0,
109138,Cellino Biotech,Co-Founder,,,,,false,[],92017,0.0,30743
109139,Cellino Biotech,Co-Founder,,,,,false,[],92018,0.0,30743
130729,Genesis Program,Co-Founder,,,,,false,[],92019,1.20346,34394
196640,Genesis Program,Co-Founder & Managing Partner,2016-02-01,,,,false,[],92019,1.20346,
109142,welltrackone,Board of Directors,,,,0.0,false,[],92020,1.0,
109141,easton-capital,Executive Partner,,,,0.0,false,[],92020,0.0,
109143,l-capital-partners,Investor Team,,,,0.0,false,[],92020,0.0,
109144,gorerange-capital,Venture Partner,,,,0.0,false,[],92020,0.0,
109145,xMD Diagnostics,Founder,,,,,false,[],92020,0.1,30752
109146,Traddle,Founder,,,,,false,[],92021,0.0,30753
109151,RedDoor,Co-Founder,,,,,false,[],92022,0.0,30756
109149,crowdtilt,Co-Founder & Chief Technology Officer,,,,0.0,true,[],92023,62.0,
109147,rackspace,Product Manager,,,,1443.0601,true,[],92023,17.0,
109148,airbnb,Payments,,,,0.0,false,[],92023,4398.0,
109150,oasis-2,ID-Cloud TC Member,,,,0.0,false,[],92023,0.0,
109152,RedDoor,Co-Founder,,,,,false,[],92023,0.0,30756
109153,RedDoor,Co-Founder,,,,,false,[],92024,0.0,30756
109154,Future Fantasy Delight,Founder,,,,,false,[],92025,0.015,30759
109155,fitnesskeeper,CEO,,,,85.0,true,[],92026,11.0,
109156,techstars,Mentor,,,,0.0,false,[],92026,103.0,
109157,Two Way Labs,Founder,,,,,false,[],92026,1.25,30764
185143,DrinkB4,CEO & CO-Founder,2014-09-01,,,,false,[],92028,1.1625,
109159,Sunshine Supplements DrinkB4,Founder,,,,,false,[],92028,1.1625,30769
109160,Magnabid,Co-Founder,,,,,false,[],92029,0.3943,30772
109161,Magnabid,Co-Founder,,,,,false,[],92030,0.3943,30772
109162,Magnabid,Co-Founder,,,,,false,[],92031,0.3943,30772
109163,4ocean,Co-Founder,,,,,false,[],92032,0.0,30773
109164,4ocean,Co-Founder,,,,,false,[],92033,0.0,30773
109166,mevics,Co-Founder,,,,,false,[],92034,0.5,30776
109165,selfllery,Chief Business Development Officer,,,,0.0,false,[],92035,0.0,
109167,mevics,Co-Founder,,,,,false,[],92035,0.5,30776
109173,VinSense,Founder,,,,,false,[],92038,0.5,30778
195267,VinSense,CTO,,,,,false,[],92038,0.55,
109174,Hugo Insurance,Founder,,,,,false,[],92039,0.0,30779
109175,bedly-2,COO & Co-Founder,,,,0.0,false,[],92040,2.0,
109177,Bedly,Co-Founder,,,,,false,[],92040,1.652926,30785
164500,Bedly,Founder,,,,,false,[],92040,1.652926,
164499,Bedly,COO & Co-Founder,,,,,false,"[""founder-collective"", ""fundersclub""]",92040,2.7,
164501,Bedly,CEO & Co-Founder,,,,,false,"[""founder-collective"", ""fundersclub""]",92041,2.7,
109176,bedly-2,CEO & Co-Founder,,,,0.0,false,[],92041,2.0,
109178,Bedly,Co-Founder,,,,,false,[],92041,1.652926,30785
164502,Bedly,Founder,,,,,false,[],92041,1.652926,
109179,Prokaryotics,Founder,,,,,false,[],92042,2.5,30788
109180,alphabird,President,,,,0.0,false,[],92043,0.0,
109182,NewTropic,Co-Founder,,,,,false,[],92043,0.0,30789
109181,alphabird,VP Network Development,,,,0.0,false,[],92044,0.0,
109183,NewTropic,Co-Founder,,,,,false,[],92044,0.0,30789
109192,Lingrove,Co-Founder,,,,,false,[],92048,0.1,30793
195271,Lingrove,Co-Founder and Director of Business Development,,,,,false,[],92048,0.35,
109193,Lingrove,Co-Founder,,,,,false,[],92049,0.1,30793
195272,Lingrove,Co-Founder and Chief Executive Officer,,,,,false,[],92049,0.35,
109194,Lingrove,Co-Founder,,,,,false,[],92050,0.1,30793
195270,Lingrove,Founder,,,,,false,[],92050,0.35,
109197,concord-5,Director of Marketing,,,,0.0,false,[],92051,41.0,
109198,onlinesafetydepot-com,Owner,,,,0.0,false,[],92051,0.0,
109199,headcoachsports-com,Marketing Director,,,,0.0,false,[],92051,0.0,
109200,the-church-of-jesus-christ-of-latter-day-saints,Internet Marketing Strategist,,,,0.0,false,[],92051,0.0,
109195,prohealthcareproducts-com,"Founder, Owner",,,,0.0,false,[],92051,0.0,
109196,robbinssports-com,Founder,,,,0.0,false,[],92051,0.0,
109201,Prosperopedia.com,Founder,,,,,false,[],92051,0.0,30794
109202,Hopps,Founder,,,,,false,[],92052,0.2,30795
184406,True-Tickets,Co-founder & Senior Technical Advisor,2018-02-01,,,,false,[],92069,4.35,
109218,True-Tickets,Co-Founder,,,,,false,[],92069,2.52,30799
184407,True-Tickets,Co-Founder & CEO,,,,,false,[],92070,4.35,
109219,True-Tickets,Co-Founder,,,,,false,[],92070,2.52,30799
109220,True-Tickets,Co-Founder,,,,,false,[],92071,2.52,30799
109221,BankMyCell,Founder,,,,,false,[],92072,0.0,30801
224170,Remo,Founder,,,,,false,[],92076,0.0,
109225,riotly-social-media,Founder,,,,0.0,false,[],92076,0.0,
109226,Remo.co,Founder,,,,,false,[],92076,0.0,30804
195275,Remo.co,CEO,2018-06-01,,,,false,[],92076,0.0,
195274,Riotly Social Media,Founder,2015-01-01,,,,false,[],92076,0.0,
109267,oncovista-innovative-therapies,Board of Directors,,,,0.0,true,[],92102,65.0,
109269,vuzix,Board of Directors,,,,0.0,true,[],92102,47.0,
109264,nanostart,"Head, U.S. Group",,,,0.0,true,[],92102,0.0,
109265,alpha-plus-advisors,Partner,,,,0.0,false,[],92102,0.0,
109266,dunmore-management,Research Assistant,,,,0.0,false,[],92102,0.0,
109268,herakles-capital,Co - Founder,,,,0.0,false,[],92102,0.0,
109271,PainQx,Co-Founder,,,,,false,[],92102,1.6,30808
109270,accenture,Business Management Consultant,,,,0.0,true,[],92103,6.0,
109272,PainQx,Co-Founder,,,,,false,[],92103,1.6,30808
109275,Enable Dental,Founder,,,,,false,[],92104,0.0,30809
109273,tenaska-capital-management,Analyst,,,,0.0,false,[],92104,0.0,
109274,centergate-capital,Associate,,,,0.0,false,[],92104,0.0,
109282,ihiji,"Director, Board of Directors",,,,0.0,true,[],92109,2.0,
109284,nusocket,"Director, Board of Directors",,,,0.0,false,[],92109,4.0,
109283,jopeko-llc,Manager,,,,0.0,false,[],92109,0.0,
109285,OneVision Resources,Founder,,,,,false,[],92109,0.0,30816
109292,Francis Mariela Communications,Founder,,,,,false,[],92114,0.0,30820
109293,BeSeated,Founder,,,,,false,[],92115,2.45,30821
195284,BeSeated,CEO / Founder,2015-01-22,,,,false,[],92115,2.45,
109301,axwave-inc-,Chief Research Officer,,,,0.0,true,[],92123,5.0,
109300,gsound,Founder CTO,,,,0.0,false,[],92123,1.0,
195289,GSOUND,Founder CTO,,,,,false,[],92123,1.05,
195290,"Axwave, Inc.",Chief Research Officer,,2018-01-01,2019-08-20,,true,[],92123,5.75,
109305,Deep Forecast,Co-Founder,,,,,false,[],92123,4.2,30822
109303,axwave-inc-,Founder & Chief Executive Officer,,,,0.0,true,[],92124,5.0,
109304,gsound,Founder CEO,,,,0.0,false,[],92124,1.0,
195286,Firstquant,CEO,2019-08-12,,,,false,[],92124,0.0,
195287,Deep Forecast,CEO,2019-08-12,,,,false,[],92124,4.2,
195288,GSOUND,Founder CEO,,,,,false,[],92124,1.05,
109302,firstquant,CEO,,,,0.0,false,[],92124,0.0,
109306,Deep Forecast,Co-Founder,,,,,false,[],92124,4.2,30822
195285,"Axwave, Inc.",Founder & Chief Executive Officer,,,2019-08-20,,true,[],92124,5.75,
195291,"Romny Scientific, Inc.",CEO,,,,,false,[],92126,0.0,
195292,Mirada Technologies Inc.,Founder and CEO,,,,,false,[],92126,1.451,
109314,romny-scientific-inc,CEO,,,,0.0,false,[],92126,0.0,
109317,Mirada Technologies Inc.,Co-Founder,,,,,false,[],92126,1.451,30825
109316,arborlight,Founder & CTO,,,,0.0,false,[],92127,1.0,
195293,Covalent Solar,Founder & CTO,2008-01-01,2010-01-01,,,false,[],92127,0.0,
109315,covalent-solar,Founder & CTO,,,,0.0,false,[],92127,0.0,
109318,Mirada Technologies Inc.,Co-Founder,,,,,false,[],92127,1.451,30825
195294,Mirada Technologies Inc.,Founder and Head of Technology,,,,,false,[],92127,1.451,
195295,Arborlight,Founder & CTO,2011-01-01,2017-01-01,,,false,[],92127,1.7,
109319,americanexpress,Tech Lead,,,,0.0,true,[],92128,0.0,
109322,petsitnstay,Advisor,,,,0.0,false,[],92128,0.0,
178154,American Express,Tech Lead,2013-03-01,2013-07-01,1977-05-18,823.0,true,[],92128,0.0,
178156,Intrakr,Founder & CEO,2013-06-20,2016-04-01,,,false,[],92128,0.0,
178153,Persosa,Co-founder & CTO,2016-09-01,,,,false,[],92128,0.7,
