id,name,location,linkedin_url,twitter_url
91783,Jake Bjorseth,,https://www.linkedin.com/in/trndsttr/,
91785,Alison Mountford,,https://www.linkedin.com/in/alisonmountford/,
91787,Trey Brown,,https://www.linkedin.com/in/efbiii/,
91788,Caelen Burke,,https://www.linkedin.com/in/caelenburke/,
91789,Ronit Tyagi,,https://www.linkedin.com/in/ronittyagi/,
91791,Michael Shpigelmacher,,https://www.linkedin.com/in/michaelshpigelmacher/,
91792,Aviad Maizels,,,
91794,Emile Mimran,,https://www.linkedin.com/in/emile-mimran-6297aba3/,
91795,Benjamin Fazli,,https://www.linkedin.com/in/benjaminfazli/,
91796,Garrett Lang,,,
91797,Levi Zoesch,,,
91798,Ash Ome,,https://www.linkedin.com/in/ash-ome-9573b6111,
91801,Werley Nortreus,,https://www.linkedin.com/in/werley-nortreus-31511463,
91833,Nathan Chandra,,http://www.linkedin.com/in/nathanchandra,
91834,Josh Freed,,https://www.linkedin.com/in/freedjosh/,
91835,Brian Watson,,https://www.linkedin.com/in/brian-watson-7a66466/,
91836,Josh Hudnall,,https://www.linkedin.com/in/joshhudnall/,joshhudnall
91837,Dennis Lankes,,https://www.linkedin.com/in/dennislankes/,
91838,Nathan Brewer,,https://www.linkedin.com/in/nathan-brewer-8b57b026/,
91839,Ellory Monks,,,
91840,Shalini Vajjhala,,https://www.linkedin.com/in/shalinivajjhala/,
91841,Elle Hempen,,,
91848,Renato Steinberg,,http://www.linkedin.com/in/renatosteinberg,
91849,Gustavo Guida Reis,,http://www.linkedin.com/in/gustavoguidareis,
91854,Nate Hardy,,,
91855,James MacDonald,,,
91856,Christian Hordo,,,
91857,Steve Harr,,,
91858,Robin Andrulevich,,,
91859,Andy May,,,
91860,Sunil Agarwal,,https://www.linkedin.com/in/sunil-agarwal-13aa549/,
91861,Chad Cowan,,,
91862,Eric Forkosh,,https://www.linkedin.com/in/ericforkosh,
91863,Frank Villarreal,,https://www.linkedin.com/in/frank-villarreal-9b620b64/,
91864,Derek Nelson,,https://www.linkedin.com/in/derek-nelson-3b498b103/,
91866,Eric Larsen,,https://www.linkedin.com/in/eric-larsen-1506671/,
91867,David Hayes,,https://www.linkedin.com/in/david-hayes-bb794427/,
91870,JP Richardson,,https://www.linkedin.com/in/jonpaulrichardson/,
91871,Daniel Castagnoli,,,
91872,Brian Brown,,https://www.linkedin.com/in/brianwbrown,
91873,Neeta Ragoowansi,,https://www.linkedin.com/in/neeta,
91874,Lee Greer,,https://www.linkedin.com/in/lee-greer-a968b56,
91875,Ned Collins,,https://www.linkedin.com/in/ned-collins,
459,Mark Zuckerberg,,,finkd
91876,David Bergstrom,,,
91877,Keith Clithero,,https://www.linkedin.com/in/keith-clithero-4a514a2a/,
91878,Samuel G. Beckford,,,
91879,Anna Seal,,,
91880,"Hakeem ""Chamillionaire"" Seriki",,https://www.linkedin.com/in/chamillionaire,
91885,Noubar Afeyan,,http://www.linkedin.com/in/noubarafeyan,
91886,Rolf Bäck,,https://www.linkedin.com/in/rolfback/,
91887,George Buckler,,https://www.linkedin.com/in/george-buckler-7259074/,
91888,David George,,https://www.linkedin.com/in/david-george-3741ba22,
91890,Viktor Roschke,,https://www.linkedin.com/in/viktor-roschke-3772b39/,
91891,Robert O. Carr,,https://www.linkedin.com/in/therobertcarr/,
91892,Andrew Hussie,,,andrewhussie
91893,Dr. Evan C. Unger,,https://www.linkedin.com/in/evan-unger-33919736/,
91894,Carl N. Kraus,,https://www.linkedin.com/in/carl-n-kraus-m-d-facp-2b36061/,
91896,Brandon Terry,,https://www.linkedin.com/in/brandon-terry-5b9381b0/,
91897,Kurt Ulmer,,https://www.linkedin.com/in/kurtulmer/,
91930,Bianca Gonzalez,,https://www.linkedin.com/in/bianca-l-gonzalez-phd-fnp-bc-rn-4323593a/,
91931,John Chou,,https://www.linkedin.com/in/cjohnchou/,
91932,Flora Chang,,,
91965,Himanshu Gupta,,,
91966,Max Evans,,https://www.linkedin.com/in/maximilian-evans-1b653770/,
91967,Joseph Pergolizzi,,https://www.linkedin.com/in/joseph-pergolizzi-md-9a81884/,
2038,Josuel Plasencia,,https://www.linkedin.com/in/josuelplasencia/,
91969,Yulkendy Valdez,,https://www.linkedin.com/in/yulkendyvaldez/,
91971,Tom Logan,,https://www.linkedin.com/in/tdlogan/,
